sample_id,name,video_path,pose_path,label_id,label_text,text,gloss,signer_id,recording_id,variant_of,is_canonical,source_size_bytes,split
cosign_00_00000,cosign_00_00000,Ban ngày/BAN_NGÀY_BÙI_MAI_CHI_ (1).mp4,pose_format/Ban ngày/BAN_NGÀY_BÙI_MAI_CHI_ (1).pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_001,00_BAN_NGÀY_BÙI_MAI_CHI_ (1),,True,8054980,train
cosign_00_00001,cosign_00_00001,Ban ngày/BAN_NGÀY_BÙI_MAI_CHI_ (2).mp4,pose_format/Ban ngày/BAN_NGÀY_BÙI_MAI_CHI_ (2).pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_001,00_BAN_NGÀY_BÙI_MAI_CHI_ (2),,True,8494592,train
cosign_00_00002,cosign_00_00002,Ban ngày/BAN_NGÀY_BÙI_MAI_CHI_ (3).mp4,pose_format/Ban ngày/BAN_NGÀY_BÙI_MAI_CHI_ (3).pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_001,00_BAN_NGÀY_BÙI_MAI_CHI_ (3),,True,8179527,train
cosign_00_00003,cosign_00_00003,Ban ngày/BAN_NGÀY_BÙI_MAI_CHI_ (4).mp4,pose_format/Ban ngày/BAN_NGÀY_BÙI_MAI_CHI_ (4).pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_001,00_BAN_NGÀY_BÙI_MAI_CHI_ (4),,True,8995211,train
cosign_00_00004,cosign_00_00004,Ban ngày/BAN_NGÀY_BÙI_MAI_CHI_ (5).mp4,pose_format/Ban ngày/BAN_NGÀY_BÙI_MAI_CHI_ (5).pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_001,00_BAN_NGÀY_BÙI_MAI_CHI_ (5),,True,7360745,train
cosign_00_00005,cosign_00_00005,Ban ngày/BAN_NGÀY_BÙI_MẬU_VĂN_ (1).mp4,pose_format/Ban ngày/BAN_NGÀY_BÙI_MẬU_VĂN_ (1).pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_002,00_BAN_NGÀY_BÙI_MẬU_VĂN_ (1),,True,10125146,train
cosign_00_00006,cosign_00_00006,Ban ngày/BAN_NGÀY_BÙI_MẬU_VĂN_ (2).mp4,pose_format/Ban ngày/BAN_NGÀY_BÙI_MẬU_VĂN_ (2).pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_002,00_BAN_NGÀY_BÙI_MẬU_VĂN_ (2),,True,9013808,train
cosign_00_00007,cosign_00_00007,Ban ngày/BAN_NGÀY_BÙI_MẬU_VĂN_ (3).mp4,pose_format/Ban ngày/BAN_NGÀY_BÙI_MẬU_VĂN_ (3).pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_002,00_BAN_NGÀY_BÙI_MẬU_VĂN_ (3),,True,8270346,train
cosign_00_00008,cosign_00_00008,Ban ngày/BAN_NGÀY_BÙI_MẬU_VĂN_ (4).mp4,pose_format/Ban ngày/BAN_NGÀY_BÙI_MẬU_VĂN_ (4).pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_002,00_BAN_NGÀY_BÙI_MẬU_VĂN_ (4),,True,7586489,train
cosign_00_00009,cosign_00_00009,Ban ngày/BAN_NGÀY_BÙI_MẬU_VĂN_ (5).mp4,pose_format/Ban ngày/BAN_NGÀY_BÙI_MẬU_VĂN_ (5).pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_002,00_BAN_NGÀY_BÙI_MẬU_VĂN_ (5),,True,7165329,train
cosign_00_00010,cosign_00_00010,Ban ngày/BAN_NGÀY_LẠI_QUANG_VINH_(1).mp4,pose_format/Ban ngày/BAN_NGÀY_LẠI_QUANG_VINH_(1).pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_003,00_BAN_NGÀY_LẠI_QUANG_VINH_(1),,True,2143067,train
